DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,Weather
2020-04-01,7.61,0.0,0.0,0.0,8.333333333333334,13.333333333333334,3.3333333333333335,,Good
2020-04-02,9.4,0.0,0.0,0.0,8.88888888888889,14.444444444444445,3.3333333333333335,,Good
2020-04-03,8.72,0.13,0.0,0.0,9.166666666666666,11.11111111111111,7.222222222222222,,Good
2020-04-04,4.25,0.02,0.0,0.0,12.222222222222223,16.666666666666668,7.777777777777779,,Bad
2020-04-05,2.46,0.0,0.0,0.0,13.333333333333336,18.333333333333336,8.333333333333334,,Good
2020-04-06,5.82,0.07,0.0,0.0,14.166666666666668,18.88888888888889,9.444444444444445,,Bad
2020-04-07,3.8,0.0,0.0,0.0,15.555555555555555,20.0,11.11111111111111,,Good
2020-04-08,3.8,0.2,0.0,0.0,13.61111111111111,17.77777777777778,9.444444444444445,,Bad
2020-04-09,7.83,0.12,0.0,0.0,10.555555555555555,15.0,6.111111111111112,,Bad
2020-04-10,10.07,0.01,0.0,0.0,6.111111111111111,9.444444444444445,2.7777777777777777,,Good
2020-04-11,8.95,0.0,0.0,0.0,8.333333333333334,13.333333333333334,3.3333333333333335,,Good
2020-04-12,5.82,0.0,0.0,0.0,11.944444444444445,17.22222222222222,6.666666666666667,,Good
2020-04-13,7.83,1.92,0.0,0.0,15.555555555555557,19.444444444444446,11.666666666666668,,Bad
2020-04-14,6.26,0.0,0.0,0.0,11.944444444444446,15.555555555555557,8.333333333333334,,Good
2020-04-15,6.26,0.0,0.0,0.0,8.88888888888889,12.222222222222223,5.555555555555555,,Good
2020-04-16,9.17,0.0,0.0,0.0,6.666666666666667,10.0,3.3333333333333335,,Good
2020-04-17,5.37,0.07,0.0,0.0,6.388888888888889,10.555555555555555,2.2222222222222223,,Bad
2020-04-18,5.82,0.22,0.0,0.0,6.388888888888889,7.777777777777779,5.0,,Bad
2020-04-19,7.38,0.0,0.0,0.0,10.833333333333332,17.22222222222222,4.444444444444445,,Good
2020-04-20,4.7,0.0,0.0,0.0,11.38888888888889,13.88888888888889,8.88888888888889,,Good
2020-04-21,7.16,0.18,0.0,0.0,10.0,16.11111111111111,3.8888888888888893,,Bad
2020-04-22,8.05,0.0,0.0,0.0,6.388888888888889,10.555555555555555,2.2222222222222223,,Good
2020-04-23,3.8,0.13,0.0,0.0,7.777777777777778,11.11111111111111,4.444444444444445,,Bad
2020-04-24,7.16,0.48,0.0,0.0,7.5,9.444444444444445,5.555555555555555,,Bad
2020-04-25,3.36,0.0,0.0,0.0,12.500000000000002,18.333333333333336,6.666666666666667,,Good
2020-04-26,10.51,0.22,0.0,0.0,8.055555555555555,10.555555555555555,5.555555555555555,,Bad
2020-04-27,7.38,0.0,0.0,0.0,6.944444444444445,10.0,3.8888888888888893,,Bad
2020-04-28,3.8,0.0,0.0,0.0,12.222222222222223,19.444444444444446,5.0,,Good
2020-04-29,6.71,0.01,0.0,0.0,11.666666666666668,15.0,8.333333333333334,,Good
2020-04-30,9.17,0.71,0.0,0.0,12.5,15.555555555555557,9.444444444444445,,Bad
2020-05-01,3.8,0.21,0.0,0.0,15.277777777777779,18.88888888888889,11.666666666666668,,Bad
2020-05-02,6.04,0.0,0.0,0.0,16.666666666666668,22.77777777777778,10.555555555555555,,Good
2020-05-03,5.59,0.04,0.0,0.0,19.444444444444446,26.666666666666668,12.222222222222223,,Bad
2020-05-04,5.82,0.0,0.0,0.0,16.944444444444443,23.88888888888889,10.0,,Good
2020-05-05,6.71,0.0,0.0,0.0,12.5,17.22222222222222,7.777777777777779,,Good
2020-05-06,5.59,0.06,0.0,0.0,9.166666666666666,11.11111111111111,7.222222222222222,,Bad
2020-05-07,6.04,0.0,0.0,0.0,13.611111111111112,19.444444444444446,7.777777777777779,,Good
2020-05-08,4.25,0.45,0.0,0.0,8.055555555555555,13.88888888888889,2.2222222222222223,,Bad
2020-05-09,8.95,0.03,0.0,0.0,5.0,8.88888888888889,1.1111111111111112,,Bad
2020-05-10,7.38,0.0,0.0,0.0,10.833333333333334,17.77777777777778,3.8888888888888893,,Good
2020-05-11,5.82,0.05,0.0,0.0,11.38888888888889,16.11111111111111,6.666666666666667,,Bad
2020-05-12,7.83,0.0,0.0,0.0,10.555555555555555,15.0,6.111111111111112,,Good
2020-05-13,5.37,0.0,0.0,0.0,11.38888888888889,17.77777777777778,5.0,,Good
2020-05-14,2.24,0.0,0.0,0.0,13.88888888888889,19.444444444444446,8.333333333333334,,Good
2020-05-15,4.92,0.07,0.0,0.0,22.22222222222222,28.88888888888889,15.555555555555557,,Bad
2020-05-16,3.8,0.01,0.0,0.0,20.0,25.0,15.0,,Good
2020-05-17,3.13,0.0,0.0,0.0,16.666666666666668,20.555555555555557,12.777777777777779,,Good
2020-05-18,,0.0,0.0,0.0,16.666666666666668,21.11111111111111,12.222222222222223,,Good
2020-05-19,,0.0,0.0,0.0,15.833333333333334,20.0,11.666666666666668,,Good
2020-05-20,,0.0,0.0,0.0,14.166666666666668,18.88888888888889,9.444444444444445,,Good
2020-05-21,,0.0,0.0,0.0,13.88888888888889,20.0,7.777777777777779,,Good
2020-05-22,,0.03,0.0,0.0,18.61111111111111,25.0,12.222222222222223,,Bad
2020-05-23,,0.65,0.0,0.0,16.111111111111114,19.444444444444446,12.777777777777779,,Bad
2020-05-24,,0.0,0.0,0.0,15.277777777777779,19.444444444444446,11.11111111111111,,Good
2020-05-25,,0.0,0.0,0.0,17.22222222222222,21.666666666666668,12.777777777777779,,Bad
2020-05-26,,0.0,0.0,0.0,20.0,25.555555555555557,14.444444444444445,,Bad
2020-05-27,,0.0,0.0,0.0,20.833333333333336,26.11111111111111,15.555555555555557,,Bad
2020-05-28,,0.0,0.0,0.0,21.111111111111114,24.444444444444446,17.77777777777778,,Bad
2020-05-29,,0.03,0.0,0.0,23.333333333333336,27.222222222222225,19.444444444444446,,Bad
2020-05-30,,0.02,0.0,0.0,23.333333333333336,27.222222222222225,19.444444444444446,,Good
2020-05-31,,0.0,0.0,0.0,17.22222222222222,21.11111111111111,13.333333333333334,,Good
2020-06-01,,0.0,0.0,0.0,15.833333333333332,21.11111111111111,10.555555555555555,,Good
2020-06-02,,0.0,0.0,0.0,18.61111111111111,22.22222222222222,15.0,,Good
2020-06-03,,0.45,0.0,0.0,20.833333333333336,26.11111111111111,15.555555555555557,,Bad
2020-06-04,,0.16,0.0,0.0,23.88888888888889,28.88888888888889,18.88888888888889,,Bad
2020-06-05,,0.26,0.0,0.0,23.333333333333336,26.11111111111111,20.555555555555557,,Bad
2020-06-06,,0.06,0.0,0.0,25.555555555555557,30.0,21.11111111111111,,Bad
2020-06-07,,0.0,0.0,0.0,20.833333333333336,24.444444444444446,17.22222222222222,,Good
2020-06-08,,0.0,0.0,0.0,20.555555555555557,26.11111111111111,15.0,,Good
2020-06-09,,0.0,0.0,0.0,24.444444444444446,30.555555555555557,18.333333333333336,,Good
2020-06-10,,0.0,0.0,0.0,25.27777777777778,29.444444444444446,21.11111111111111,,Good
2020-06-11,,0.05,0.0,0.0,25.0,28.88888888888889,21.11111111111111,,Bad
2020-06-12,,0.0,0.0,0.0,25.0,29.444444444444446,20.555555555555557,,Good
2020-06-13,,0.0,0.0,0.0,19.444444444444443,23.88888888888889,15.0,,Good
2020-06-14,,0.0,0.0,0.0,17.77777777777778,23.333333333333336,12.222222222222223,,Good
2020-06-15,,0.0,0.0,0.0,19.444444444444443,23.88888888888889,15.0,,Good
2020-06-16,,0.0,0.0,0.0,20.555555555555557,25.555555555555557,15.555555555555557,,Good
2020-06-17,,0.0,0.0,0.0,20.555555555555557,25.555555555555557,15.555555555555557,,Good
2020-06-18,,0.0,0.0,0.0,21.666666666666668,25.0,18.333333333333336,,Bad
2020-06-19,2.46,0.0,0.0,0.0,23.333333333333336,28.333333333333336,18.333333333333336,,Bad
2020-06-20,1.79,0.0,0.0,0.0,25.555555555555557,30.0,21.11111111111111,,Good
2020-06-21,2.46,0.0,0.0,0.0,26.111111111111114,31.111111111111114,21.11111111111111,,Good
2020-06-22,2.91,0.0,0.0,0.0,27.22222222222222,32.22222222222222,22.22222222222222,,Good
2020-06-23,2.46,0.0,0.0,0.0,26.944444444444446,30.555555555555557,23.333333333333336,,Bad
2020-06-24,4.25,0.0,0.0,0.0,26.666666666666668,30.0,23.333333333333336,,Good
2020-06-25,2.91,0.0,0.0,0.0,26.38888888888889,30.555555555555557,22.22222222222222,,Good
2020-06-26,3.58,0.0,0.0,0.0,25.555555555555557,30.555555555555557,20.555555555555557,,Good
2020-06-27,2.68,0.09,0.0,0.0,24.444444444444443,26.666666666666668,22.22222222222222,,Bad
2020-06-28,2.24,0.11,0.0,0.0,26.666666666666664,32.22222222222222,21.11111111111111,,Bad
2020-06-29,3.36,0.58,0.0,0.0,24.444444444444446,30.555555555555557,18.333333333333336,,Bad
2020-06-30,3.13,0.0,0.0,0.0,23.055555555555557,26.666666666666668,19.444444444444446,,Bad
